player_sk,player_id,player_name,team_id,team_name,position,fecha_actualizacion
993944,993944,A. Alarcón,6215,Reus FC Reddis,Defensa,2026-03-09
998285,998285,A. Almansa,999,Espanyol B,Delantero,2026-03-09
3468566,3468566,A. Andreev,11972,Girona FC B,Portero,2026-03-09
3575538,3575538,A. Arapio,653,CD Castellón B,midfielder,2026-03-09
3313541,3313541,A. Aziz Issah,430,Barça Atlètic,Delantero,2026-03-09
3314335,3314335,A. Benrouane,2518,Torrent CF,Defensa,2026-03-09
3184520,3184520,A. Binimelis,85201,Porreres,Delantero,2026-03-09
3211045,3211045,A. Blázquez,3902,Valencia Mestalla,Delantero,2026-03-09
3447307,3447307,A. Bombardó,999,Espanyol B,midfielder,2026-03-09
860488,860488,A. Boumenjal,138431,Atlètic Lleida,Defensa,2026-03-09
